SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AARVEEDEN, BE, 28-May-2021,22.5,22.35,23.6,21.7,23.5,22.8,23.43,49859,11.68,108, -, -
AARVI, EQ, 28-May-2021,71.75,71.75,72.8,68.6,69.9,69.4,69.88,109045,76.2,1325,68108,62.46
AAVAS, EQ, 28-May-2021,2311,2275.15,2336.85,2275.1,2294,2306.05,2314.17,71656,1658.24,11319,39497,55.12
ABAN, EQ, 28-May-2021,38.1,38.7,39.2,36.2,36.35,36.25,37.29,326446,121.72,2467,235969,72.28
ABB, EQ, 28-May-2021,1579.25,1565,1600,1523.1,1585,1588.75,1575.23,181421,2857.79,16184,68202,37.59
ABBOTINDIA, EQ, 28-May-2021,15993.85,15993,16171.85,15874.95,16100,16102.3,16053.1,29672,4763.28,5148,21101,71.11
ABCAPITAL, EQ, 28-May-2021,124.85,125.25,125.65,123,123,123.35,124.34,2178106,2708.28,16090,931946,42.79
ABFRL, EQ, 28-May-2021,185.5,187.5,194.9,185.1,190.3,191.05,191.03,4948409,9452.8,45566,1383505,27.96
ABFRLPP1, E1, 28-May-2021,151.4,154.45,156.2,151,154,154.05,154.03,12705,19.57,322,9306,73.25
ABINFRA, SM, 28-May-2021,6.15,6.45,6.45,6.45,6.45,6.45,6.45,4000,0.26,1,4000,100
ABMINTLTD, EQ, 28-May-2021,61.35,61.9,62.85,60.95,62.4,62,61.52,1514,0.93,43,1161,76.68
ABSLBANETF, EQ, 28-May-2021,349.44,341,356,341,350,349.81,350.12,695,2.43,49,399,57.41
ABSLNN50ET, EQ, 28-May-2021,378.1,378.1,382,378.1,382,382,381.24,88,0.34,9,86,97.73
ABSLRIF6RG, MF, 28-May-2021,9.21,8.51,8.51,8.51,8.51,8.51,8.51,10,0,1,10,100
ABSLRIF7RG, MF, 28-May-2021,9.7,9.6,9.6,9.6,9.6,9.6,9.6,600,0.06,2,600,100
ACC, EQ, 28-May-2021,2000.15,1994.9,2009.6,1975,1979.95,1985.45,1990.29,415702,8273.69,19539,92158,22.17
ACCELYA, EQ, 28-May-2021,993.35,1025.2,1079.4,1025.2,1059.95,1055.7,1058.32,216193,2288.02,14506,65481,30.29
ACCURACY, EQ, 28-May-2021,59.55,60.1,60.5,58.65,59.15,59.65,59.61,42266,25.2,164,25703,60.81
ACE, EQ, 28-May-2021,163.2,163.9,172.9,162.5,169.4,168.3,169.17,861117,1456.79,12842,442880,51.43
ACRYSIL, EQ, 28-May-2021,440.65,440.65,510,440.65,487.8,485.35,490.81,648176,3181.32,33006,198715,30.66
ADANIENT, EQ, 28-May-2021,1325.8,1311.6,1330.45,1298,1302,1302.6,1311.65,2979585,39081.74,58720,592748,19.89
ADANIGREEN, EQ, 28-May-2021,1266.6,1273,1289,1235,1241,1238.95,1261.57,747224,9426.72,43690,380397,50.91
ADANIPORTS, EQ, 28-May-2021,751.4,755,784.9,754,777,776.15,771.74,13623565,105138.81,179796,2746509,20.16
ADANIPOWER, EQ, 28-May-2021,95.15,95.9,97,90.75,92.3,91.95,93.02,26184911,24358.16,122366,13097493,50.02
ADANITRANS, EQ, 28-May-2021,1439.8,1421.9,1469.95,1413.25,1454,1444.9,1448.47,822133,11908.37,38097,342368,41.64
ADFFOODS, EQ, 28-May-2021,975.05,975,995.65,952,977,968.5,976.39,35203,343.72,4321,14533,41.28
ADL, BE, 28-May-2021,31.95,31.9,32.1,30.75,30.75,31.65,31.7,742,0.24,22, -, -
ADORWELD, EQ, 28-May-2021,429.1,431.1,437,414.5,416.45,418.4,420.69,25562,107.54,1863,14188,55.5
ADROITINFO, EQ, 28-May-2021,9.85,9.95,9.95,9.4,9.4,9.4,9.55,19232,1.84,102,17036,88.58
ADSL, EQ, 28-May-2021,72.25,72.8,72.8,69,69.5,69.15,70.15,434202,304.6,3672,283354,65.26
ADVANIHOTR, EQ, 28-May-2021,63.5,65.5,66.65,65.4,66.6,66.35,66.41,62726,41.65,717,41226,65.72
ADVENZYMES, EQ, 28-May-2021,473.65,474,482.05,451.55,456,457.2,466.44,303749,1416.8,9922,138345,45.55
AEGISCHEM, EQ, 28-May-2021,359.6,355,355,338.5,339,339.7,344.49,759152,2615.2,18529,390275,51.41
AFFLE, EQ, 28-May-2021,5264.85,5280,5320,5215,5230,5224.75,5256.91,52224,2745.37,9215,32839,62.88
AGARIND, EQ, 28-May-2021,221.3,225,225.8,214.05,214.15,216.9,219.71,20089,44.14,753,16024,79.77
AGCNET, EQ, 28-May-2021,1496.6,1525,1525.35,1430,1430,1464.2,1475.5,4259,62.84,527,2744,64.43
AGRITECH, EQ, 28-May-2021,46.3,47.4,47.4,44.65,45.6,45.15,45.75,10822,4.95,230,8301,76.7
AGROPHOS, EQ, 28-May-2021,13.6,13.8,13.8,13.2,13.55,13.4,13.51,74899,10.12,302,54687,73.01
AHLADA, EQ, 28-May-2021,118.5,119.05,121.6,116.2,116.4,116.95,118.82,11040,13.12,213,8423,76.3
AHLEAST, EQ, 28-May-2021,181.9,185,185.05,172.6,178.6,176.5,180.2,4734,8.53,305,2805,59.25
AHLUCONT, EQ, 28-May-2021,309.85,311.6,312.45,305,309.8,309,308.61,10371,32.01,1096,8406,81.05
AHLWEST, EQ, 28-May-2021,227.15,227.55,231.95,225,227.6,226,226.83,6595,14.96,288,2794,42.37
AIAENG, EQ, 28-May-2021,1934,1965,1965,1940.15,1950,1952.65,1953.41,15590,304.54,3132,10046,64.44
AIRAN, EQ, 28-May-2021,21.75,22,22.35,20.1,21,21.05,21.14,101051,21.36,763,59677,59.06
AISL, SM, 28-May-2021,46.05,46.85,46.85,45.15,45.35,45.35,45.61,22800,10.4,16,0,0
AJANTPHARM, EQ, 28-May-2021,1995.3,1999,2005.3,1956.1,1969.9,1969.3,1978.31,30235,598.14,3885,10942,36.19
AJMERA, EQ, 28-May-2021,152,152,152.95,144.1,145,145.2,147.52,191883,283.06,5196,93764,48.87
AJOONI, BE, 28-May-2021,70,71.5,73.5,70.9,73.5,73.4,72.5,229906,166.68,1184, -, -
AKASH, EQ, 28-May-2021,209.95,212.9,212.9,206.5,210.7,209.85,210.46,10917,22.98,306,9262,84.84
AKG, EQ, 28-May-2021,26.45,26.4,27.5,26.4,27.1,27.1,27.01,5062,1.37,88,4560,90.08
AKSHARCHEM, EQ, 28-May-2021,302.65,302.65,307,292.6,302,302,300.31,42743,128.36,1979,25637,59.98
AKSHOPTFBR, BE, 28-May-2021,7.4,7.45,7.45,7.1,7.15,7.2,7.24,232224,16.8,456, -, -
AKZOINDIA, EQ, 28-May-2021,2278.25,2325,2330,2255,2257.4,2278.95,2297.24,13801,317.04,2360,5453,39.51
ALANKIT, EQ, 28-May-2021,18.15,18.35,19,18.2,18.25,18.45,18.6,406273,75.58,1503,284005,69.9
ALBERTDAVD, EQ, 28-May-2021,473.8,478.8,481.95,461.35,462,464.7,471.71,63481,299.45,3651,22268,35.08
ALEMBICLTD, EQ, 28-May-2021,133.25,135,135,128,129.45,129.25,132.03,1489181,1966.2,12504,448785,30.14
ALICON, EQ, 28-May-2021,568.95,578.45,580,540.1,550,546.65,560.47,22967,128.72,1824,12400,53.99
ALKALI, EQ, 28-May-2021,60,60.95,65.8,59.6,61.35,61.4,63.29,287857,182.19,3031,108983,37.86
ALKEM, EQ, 28-May-2021,2934.4,2945,2967.8,2900.9,2960,2957.3,2934.09,155760,4570.14,16199,49647,31.87
ALKYLAMINE, EQ, 28-May-2021,3864.7,3900,3979.95,3780,3790,3794.5,3846.88,166040,6387.36,25540,67200,40.47
ALLCARGO, EQ, 28-May-2021,130.15,130.9,133.35,129,129.95,130.15,131.14,526503,690.44,4953,237275,45.07
ALLSEC, EQ, 28-May-2021,395.2,408.9,410,380,383.95,383.1,398.49,40314,160.65,2414,23841,59.14
ALMONDZ, EQ, 28-May-2021,37.7,38.85,39.55,37.15,38.55,38.4,38.46,27199,10.46,232,15224,55.97
ALOKINDS, EQ, 28-May-2021,21.55,21.65,21.8,20.75,20.95,20.8,21.17,11230034,2377.05,14828,5764094,51.33
ALPA, BE, 28-May-2021,56.95,56.95,57.8,55.2,56.8,57.4,56.78,67249,38.19,403, -, -
ALPHAGEO, EQ, 28-May-2021,246.2,246.2,249.4,241.25,244,241.85,245.19,18537,45.45,715,12377,66.77
ALPSINDUS, EQ, 28-May-2021,2,1.9,2.05,1.9,2,2,1.99,19697,0.39,73,16613,84.34
AMARAJABAT, EQ, 28-May-2021,737.5,743.95,745.5,734,745.35,743.75,741.15,1896097,14052.92,39276,862845,45.51
AMBANIORG, SM, 28-May-2021,85.2,80.95,80.95,80.95,80.95,80.95,80.95,2000,1.62,1,2000,100
AMBER, EQ, 28-May-2021,2735.85,2749.9,2829.1,2741.8,2768.8,2755.8,2783.25,108410,3017.32,14266,50516,46.6
AMBICAAGAR, EQ, 28-May-2021,22.85,22.2,23.95,22.2,23.95,23.95,23.35,201255,46.98,667,136179,67.66
AMBIKCO, EQ, 28-May-2021,1158.5,1168.2,1169.7,1131,1137,1142.25,1145.78,20097,230.27,2966,10790,53.69
AMBUJACEM, EQ, 28-May-2021,330.1,330.1,331.4,324.25,325.5,325.65,327.71,2648245,8678.6,33281,759481,28.68
AMDIND, EQ, 28-May-2021,21.5,21.9,21.9,20.5,20.5,20.65,20.89,25185,5.26,189,18055,71.69
AMJLAND, EQ, 28-May-2021,29.65,30,30.2,28.55,28.55,29.1,29.82,86689,25.85,582,59313,68.42
AMJUMBO, SM, 28-May-2021,9.3,9.75,9.75,9.75,9.75,9.75,9.75,8000,0.78,1,8000,100
AMRUTANJAN, EQ, 28-May-2021,760.45,704,730.25,686.15,702,700.7,714.05,363743,2597.29,18949,159970,43.98
ANANTRAJ, EQ, 28-May-2021,60.5,62.35,62.35,57.5,57.95,57.95,59.1,805914,476.31,3694,550342,68.29
ANDHRACEMT, EQ, 28-May-2021,8,8.4,8.4,8.4,8.4,8.4,8.4,206600,17.35,268,206600,100
ANDHRAPAP, EQ, 28-May-2021,233.05,230.65,235.95,230.25,231.15,232.05,232.3,28124,65.33,1229,14821,52.7
ANDHRSUGAR, EQ, 28-May-2021,407.3,410,415,406.25,414,412.7,410.51,76587,314.39,3400,40129,52.4
ANGELBRKG, EQ, 28-May-2021,732.6,746,759,734.6,743,744.95,744.93,356981,2659.27,18591,93468,26.18
ANIKINDS, EQ, 28-May-2021,16.9,16.1,16.8,16.1,16.1,16.1,16.17,164866,26.66,521,130136,78.93
ANKITMETAL, BE, 28-May-2021,1.25,1.3,1.3,1.2,1.25,1.25,1.25,95393,1.19,97, -, -
ANSALAPI, EQ, 28-May-2021,6.35,6.6,6.6,6.1,6.3,6.3,6.28,494151,31.05,547,312752,63.29
ANSALHSG, EQ, 28-May-2021,6.65,7.05,7.2,6.4,6.5,6.5,6.85,337036,23.08,665,212404,63.02
ANUP, EQ, 28-May-2021,755.3,759.7,782,726.95,742.55,739,757.23,86478,654.84,6102,41852,48.4
ANURAS, EQ, 28-May-2021,767.35,771,771.6,755.1,757.3,761.5,760.78,96321,732.79,3699,44984,46.7
APARINDS, EQ, 28-May-2021,564.35,563.1,594.5,563.1,584.9,583.15,584.87,277410,1622.47,10477,101551,36.61
APCL, EQ, 28-May-2021,320.6,318.3,324.75,305.1,309.5,308.9,311.52,146874,457.54,6082,94158,64.11
APCOTEXIND, EQ, 28-May-2021,345.5,350,354,342,351,348.45,348.75,67707,236.13,2861,31566,46.62
APEX, EQ, 28-May-2021,268.85,268.9,279.45,268.5,271,270.05,274.14,213987,586.63,6210,67563,31.57
APLAPOLLO, EQ, 28-May-2021,1303.5,1339.9,1357.3,1290,1295.9,1297.85,1312.31,137696,1807.01,12933,79901,58.03
APLLTD, EQ, 28-May-2021,950,954.8,956.65,941,942.8,941.9,946.64,171483,1623.33,6730,96157,56.07
APOLLO, EQ, 28-May-2021,111.6,111.7,113.85,109.9,111,110.25,111.08,124681,138.5,3266,67960,54.51
APOLLOHOSP, EQ, 28-May-2021,3199,3199,3207,3140,3150,3149.35,3166.54,555829,17600.53,33457,252768,45.48
APOLLOPIPE, EQ, 28-May-2021,1081.55,1086,1104.8,1063.75,1067.1,1069.5,1080.55,13684,147.86,1408,6751,49.33
APOLLOTYRE, EQ, 28-May-2021,223.2,225,228.7,221.75,223.75,223.6,224.92,5526121,12429.59,33550,902442,16.33
APOLSINHOT, EQ, 28-May-2021,875.95,875,920,875,900,899.8,901.88,5760,51.95,532,3437,59.67
APTECHT, EQ, 28-May-2021,204.6,206,212.9,205.05,208,207.7,209.02,345785,722.76,7298,117172,33.89
ARCHIDPLY, BE, 28-May-2021,34.85,34.95,35.75,34.5,34.5,34.7,35.1,14283,5.01,89, -, -
ARCHIES, EQ, 28-May-2021,14.7,15.7,17.45,14.4,15.05,15.2,16.03,4169646,668.21,9469,1980616,47.5
ARENTERP, EQ, 28-May-2021,12.5,12.15,12.9,12.15,12.7,12.65,12.25,1027,0.13,25,935,91.04
ARIES, EQ, 28-May-2021,112.7,112,117.2,110.25,111.85,112.3,114.55,409249,468.79,8003,121060,29.58
ARIHANT, EQ, 28-May-2021,21.25,21.5,22.2,20.25,21.25,21.35,20.73,10769,2.23,261,6962,64.65
ARIHANTSUP, BE, 28-May-2021,72.9,73.1,75.5,72.9,74,74.45,74.28,14830,11.02,100, -, -
ARMANFIN, EQ, 28-May-2021,602.35,605,615,595.6,607.5,609.55,605.3,9923,60.06,925,6359,64.08
AROGRANITE, EQ, 28-May-2021,51.45,51.45,55.4,51.1,51.15,51.55,53.85,366111,197.15,3138,127327,34.78
ARROWGREEN, BE, 28-May-2021,114.85,113.65,117,109.15,110.3,111.2,111.95,16754,18.76,171, -, -
ARSHIYA, EQ, 28-May-2021,28.95,29.5,29.6,28.2,29.5,29.1,29.11,50398,14.67,372,30310,60.14
ARSSINFRA, EQ, 28-May-2021,33.35,36.35,37.5,31.2,31.9,32.2,34.69,711965,247,4450,348780,48.99
ARTEMISMED, BE, 28-May-2021,271.9,272,276,269,269,269.4,272.6,15376,41.91,120, -, -
ARVEE, BE, 28-May-2021,123.5,117.35,117.35,117.35,117.35,117.35,117.35,1627,1.91,35, -, -
ARVIND, EQ, 28-May-2021,77.05,77.9,79.45,77.1,77.6,77.55,78.08,1292165,1008.96,8258,648686,50.2
ARVINDFASN, EQ, 28-May-2021,144.05,145,151,143,146.5,147.1,147.63,2713863,4006.49,19911,853776,31.46
ARVSMART, EQ, 28-May-2021,108.05,107.35,110.55,100.6,102.5,102.3,104.09,475650,495.08,9562,177459,37.31
ASAHIINDIA, EQ, 28-May-2021,319.85,324,327,312,319,317.9,319.43,92108,294.22,3462,38491,41.79
ASAHISONG, EQ, 28-May-2021,377.5,382.45,383,342.7,348,348.1,356.23,78645,280.16,2980,44910,57.1
ASAL, EQ, 28-May-2021,38.6,39,39.5,37,38.05,38.15,38.38,13423,5.15,130,9785,72.9
ASALCBR, EQ, 28-May-2021,457.2,467,469.95,456.05,463,464.55,462.77,77363,358.01,3287,52229,67.51
ASHAPURMIN, EQ, 28-May-2021,151.65,152.75,159.55,151,153,151.55,154.11,183604,282.94,3406,98767,53.79
ASHIANA, EQ, 28-May-2021,135.75,138.2,149.65,133.35,143.5,144.65,143.21,1401222,2006.71,26123,281193,20.07
ASHIMASYN, BE, 28-May-2021,18,18.4,18.9,17.5,18.9,18.85,18.05,195948,35.37,161, -, -
ASHOKA, EQ, 28-May-2021,92.4,95,95.2,91.8,93.3,93.15,93.41,2371198,2214.99,13830,949389,40.04
ASHOKLEY, EQ, 28-May-2021,126.4,126.35,127.6,123.55,124.85,124.6,125.13,9809091,12273.91,43219,2221769,22.65
ASIANHOTNR, EQ, 28-May-2021,76.65,77.15,79.7,76.15,76.5,76.35,77.44,12205,9.45,571,7217,59.13
ASIANPAINT, EQ, 28-May-2021,2949.35,2958.15,2963.8,2931.15,2935.7,2940.7,2946.2,711383,20958.79,44927,228055,32.06
ASIANTILES, EQ, 28-May-2021,196.2,197.15,204.8,194.25,200.9,201.15,200.95,1223615,2458.83,15349,427516,34.94
ASPINWALL, EQ, 28-May-2021,212.95,212.8,215.8,209,209,209,210.69,4040,8.51,118,3330,82.43
ASTEC, EQ, 28-May-2021,1415.3,1415.3,1428.6,1365,1374.95,1373.4,1395.3,47488,662.6,5615,26707,56.24
ASTERDM, EQ, 28-May-2021,149.45,151.45,151.8,147,147.8,147.55,148.85,688253,1024.45,10519,378657,55.02
ASTRAL, EQ, 28-May-2021,1897.55,1917,1919.6,1866,1880,1883.2,1897.18,176114,3341.2,23671,94532,53.68
ASTRAMICRO, EQ, 28-May-2021,140.75,142,142.35,133.1,133.25,134.2,137.1,998653,1369.15,10281,569580,57.03
ASTRAZEN, EQ, 28-May-2021,3798.8,3817.8,3817.8,3775,3783.95,3780,3788.98,18170,688.46,3240,8500,46.78
ASTRON, EQ, 28-May-2021,46.25,46.65,47,45.05,45.5,46,46.12,104398,48.15,1192,60377,57.83
ATFL, EQ, 28-May-2021,1008.95,1007.9,1007.9,969.55,977,980.05,981.44,37779,370.78,3495,16017,42.4
ATGL, EQ, 28-May-2021,1354.2,1325,1349.05,1315.7,1345.85,1341.7,1336.56,812705,10862.32,47082,446308,54.92
ATLANTA, EQ, 28-May-2021,9.75,10.2,10.2,9.35,10.2,10.15,10.09,153854,15.52,321,147421,95.82
ATUL, EQ, 28-May-2021,8500.5,8511,8564.2,8481,8528.85,8505.7,8516.93,6877,585.71,1985,4525,65.8
ATULAUTO, EQ, 28-May-2021,186.45,192.25,194.9,190.25,192.95,192.75,193.28,367061,709.47,8035,239871,65.35
AUBANK, EQ, 28-May-2021,982.3,990,1008,982,994.95,995.45,996.4,2018038,20107.72,44542,815469,40.41
AURIONPRO, EQ, 28-May-2021,157.45,160,163,143,154,152.7,153.1,521247,798.04,9698,177994,34.15
AUROPHARMA, EQ, 28-May-2021,1031.6,1033,1034.35,1016.35,1021.95,1022.2,1025.59,1211293,12422.91,23553,461544,38.1
AUSOMENT, EQ, 28-May-2021,68.6,68.1,69,65.65,66,66,67.22,6876,4.62,185,4879,70.96
AUTOAXLES, EQ, 28-May-2021,1431.35,1415,1478.4,1368,1381,1376.15,1412.93,27376,386.8,4443,12584,45.97
AUTOIND, EQ, 28-May-2021,37.75,38.5,39.4,36.15,37.55,37.9,37.95,37295,14.16,485,22782,61.09
AVADHSUGAR, EQ, 28-May-2021,300.3,302,305.7,295,296.8,296.1,300.09,70690,212.13,2031,36792,52.05
AVANTIFEED, EQ, 28-May-2021,585.05,589.7,595.7,570.6,578.1,576.9,581.26,640162,3721.02,17626,185249,28.94
AVG, SM, 28-May-2021,54.6,57.3,57.3,57.3,57.3,57.3,57.3,1200,0.69,1,1200,100
AVTNPL, EQ, 28-May-2021,67.1,67.25,68.4,63.5,64.4,64.65,65.16,384913,250.82,3693,243565,63.28
AWHCL, EQ, 28-May-2021,310,312.45,314,307,308.5,308.25,310.94,75616,235.12,3294,31113,41.15
AXISBANK, EQ, 28-May-2021,750.35,752.6,759.7,738.5,743.5,739.85,746.17,17149692,127966.18,162802,8731644,50.91
AXISBNKETF, EQ, 28-May-2021,351.72,351.13,353.7,348.29,349.52,349.72,350.31,2116,7.41,54,1101,52.03
AXISBPSETF, EQ, 28-May-2021,10.15,10.15,10.15,10.14,10.15,10.15,10.14,8467,0.86,63,8446,99.75
AXISCADES, EQ, 28-May-2021,78.5,78.9,79.8,72.5,73.45,73.1,75.28,347173,261.34,3894,203473,58.61
AXISGOLD, EQ, 28-May-2021,42.3,42.3,42.38,42.02,42.16,42.09,42.13,110915,46.73,1599,81632,73.6
AXISHCETF, EQ, 28-May-2021,84.76,85.48,85.48,84,84.2,84.11,84.32,13126,11.07,224,10885,82.93
AXISNIFTY, EQ, 28-May-2021,160.19,161.8,161.8,159.61,161.05,160.69,160.42,10685,17.14,185,9033,84.54
AXISTECETF, EQ, 28-May-2021,268,270.25,270.25,265,265.7,265.7,265.62,4924,13.08,62,4386,89.07
AYMSYNTEX, EQ, 28-May-2021,67.3,68,69,67.05,68.6,68.7,68.08,58206,39.63,445,43371,74.51
BAFNAPH, EQ, 28-May-2021,136.2,140,140,133.7,135.6,135.7,136.91,5260,7.2,271,2433,46.25
BAGFILMS, BE, 28-May-2021,3.45,3.6,3.6,3.3,3.3,3.3,3.35,393649,13.17,436, -, -
BAJAJ-AUTO, EQ, 28-May-2021,4246.1,4240.2,4256,4187.65,4203,4199.5,4215.08,285520,12034.88,22724,75965,26.61
BAJAJCON, EQ, 28-May-2021,292.25,294.9,296.75,285,288.1,286.8,288.35,1070458,3086.65,26803,390396,36.47
BAJAJELEC, EQ, 28-May-2021,1098.75,1104.5,1107.5,1081,1083,1083.35,1092.61,96838,1058.06,7400,43560,44.98
BAJAJFINSV, EQ, 28-May-2021,11888.8,11925,12024.95,11680,11725,11713.2,11836.72,263315,31167.85,39962,51122,19.41
BAJAJHIND, EQ, 28-May-2021,11.25,11.25,11.4,10.85,10.95,10.9,11.02,4528192,499.14,7075,2905658,64.17
BAJAJHLDNG, EQ, 28-May-2021,3591.1,3591,3618.35,3502,3519.9,3513.15,3532.15,39430,1392.73,6458,18175,46.09
BAJFINANCE, EQ, 28-May-2021,5682.2,5724,5750,5592.1,5616,5610.75,5662.69,1526375,86433.94,95078,273889,17.94
BALAJITELE, EQ, 28-May-2021,70.4,70.9,71.85,65.85,67,66.6,68.53,951136,651.81,8895,419411,44.1
BALAMINES, EQ, 28-May-2021,2896.05,2916.95,2934.85,2835,2845,2846.55,2875.51,96027,2761.27,10489,47002,48.95
BALAXI, EQ, 28-May-2021,716.4,695.05,729.4,695,701.95,698.95,704.47,4873,34.33,474,2952,60.58
BALKRISHNA, BE, 28-May-2021,26.9,25.6,26.9,25.6,25.6,25.6,25.73,5054,1.3,16, -, -
BALKRISIND, EQ, 28-May-2021,2193,2190,2210,2159.05,2189.55,2190.85,2183.76,296972,6485.15,15789,53095,17.88
BALLARPUR, BZ, 28-May-2021,1.2,1.2,1.25,1.15,1.2,1.2,1.19,2533135,30.24,454, -, -
BALMLAWRIE, EQ, 28-May-2021,137.15,137.95,138.4,135.5,136.9,135.95,136.86,379329,519.16,3939,201175,53.03
BALPHARMA, BE, 28-May-2021,109,113.8,114,108,108.9,108.75,111.21,213989,237.98,2413, -, -
BALRAMCHIN, EQ, 28-May-2021,303.75,309,309,296,297.4,296.85,299.77,873715,2619.09,21990,423368,48.46
BANARBEADS, EQ, 28-May-2021,57.25,55.45,56.75,53.85,56.75,56.35,55.67,81433,45.33,1030,36104,44.34
BANARISUG, EQ, 28-May-2021,1691,1697.5,1779,1674.3,1700,1717.7,1729.43,15920,275.33,2178,3240,20.35
BANCOINDIA, EQ, 28-May-2021,164.75,164.1,166.9,153.95,156.6,156.1,159.66,264562,422.4,6617,146292,55.3
BANDHANBNK, EQ, 28-May-2021,295.35,298.75,306.7,295.65,306,303.5,300.44,7640254,22954.24,67351,4513619,59.08
BANG, EQ, 28-May-2021,30.8,31.75,32,30.5,31,30.75,31.17,41766,13.02,227,11572,27.71
BANKA, EQ, 28-May-2021,75.3,75.3,79,72.05,74.1,73.4,74.66,7086,5.29,155,5436,76.71
BANKBARODA, EQ, 28-May-2021,83.55,84.4,84.6,81.8,83.85,83.85,83.41,93311026,77830.83,165472,14411060,15.44
BANKBEES, EQ, 28-May-2021,352.59,355,357.4,352.1,353.75,353.6,354.11,1215524,4304.34,9008,700964,57.67
BANKINDIA, EQ, 28-May-2021,77,78,79.45,76.95,77.55,77.55,78.22,9115066,7130.08,29838,1858837,20.39
BANSWRAS, EQ, 28-May-2021,133.75,133.25,135.85,128.5,134,132.25,131.9,40285,53.14,733,27740,68.86
BARBEQUE, EQ, 28-May-2021,877.55,885,895,815,842.85,849.5,854.4,574861,4911.63,28382,128580,22.37
BARTRONICS, BZ, 28-May-2021,3.45,3.6,3.6,3.6,3.6,3.6,3.6,4374,0.16,16, -, -
BASF, EQ, 28-May-2021,2374.05,2376,2421,2354.6,2360.95,2364.7,2379.91,33594,799.51,4811,12476,37.14
BASML, EQ, 28-May-2021,93.1,94,107,93.1,105.4,104.55,100.9,2863522,2889.35,20780,962281,33.6
BATAINDIA, EQ, 28-May-2021,1546,1545.85,1554,1536.1,1543.55,1545.1,1545.65,270129,4175.26,12135,76357,28.27
BAYERCROP, EQ, 28-May-2021,5287.7,5315,5320,5221.7,5304,5275.6,5256.19,55131,2897.79,5310,37200,67.48
BBL, EQ, 28-May-2021,1393.8,1321.05,1335,1269.7,1295,1290.5,1296.13,73780,956.28,7552,36030,48.83
BBTC, EQ, 28-May-2021,1337.55,1330,1340,1276,1282,1284.15,1302.28,166689,2170.76,11410,63043,37.82
BBTCL, SM, 28-May-2021,78.8,79,81,79,81,81,80,6000,4.8,2,6000,100
BCG, EQ, 28-May-2021,8.4,8.5,8.6,8.2,8.35,8.35,8.38,2275285,190.62,1784,1552419,68.23
BCLIND, EQ, 28-May-2021,150.3,150.3,153.5,147,148.5,147.6,149.5,57873,86.52,1204,41254,71.28
BCP, EQ, 28-May-2021,3.45,3.45,3.45,3.35,3.45,3.4,3.4,140275,4.77,327,113620,81
BDL, EQ, 28-May-2021,369,370.55,373.65,356.05,357.95,357.4,363.19,169862,616.93,6925,87034,51.24
BEARDSELL, BE, 28-May-2021,12.85,13.3,13.45,13.05,13.4,13.4,13.36,45662,6.1,76, -, -
